(?:)
(?:)
&#10;	!\n!
&#163;	!£!
&#164;	!¤!
&#165;	!¥!
&#166;	!¦!
&#167;	!§!
&#xA8;	!¨!
&#169;	!©!
&#170;	!ª!
&#171;	!«!
&#172;	!¬!
&#173;	!­!
&#174;	!®!
&#175;	!¯!
&#x00b0;	!°!
&#177;	!±!
&#178;	!²!
&#179;	!³!
&#180;	!´!
&#xB5;	!µ!
&#182;	!¶!
&#0183;	!·!
&#184;	!¸!
&#185;	!¹!
&#186;	!º!
&#187;	!»!
&#188;	!¼!
&#189;	!½!
&#190;	!¾!
&#xBF;	!¿!
&#192;	!À!
&#193;	!Á!
&#194;	!Â!
&#195;	!Ã!
&#196;	!Ä!
&#197;	!Å!
&#198;	!Æ!
&#199;	!Ç!
&#200;	!È!
&#201;	!É!
&#202;	!Ê!
&#203;	!Ë!
&#204;	!Ì!
&#205;	!Í!
&#206;	!Î!
&#207;	!Ï!
&#xD0;	!Ð!
&#209;	!Ñ!
&#210;	!Ò!
&#211;	!Ó!
&#212;	!Ô!
&#213;	!Õ!
&#214;	!Ö!
&#x00D7;	!×!
&#216;	!Ø!
&#217;	!Ù!
&#218;	!Ú!
&#219;	!Û!
&#220;	!Ü!
&#221;	!Ý!
&#222;	!Þ!
&#223;	!ß!
&#0224;	!à!
&#225;	!á!
&#226;	!â!
&#227;	!ã!
&#0228;	!ä!
&#229;	!å!
&#0230;	!æ!
&#xe7;	!ç!
&#232;	!è!
&#xE9;	!é!
&#234;	!ê!
&#235;	!ë!
&#236;	!ì!
&#xED;	!í!
&#238;	!î!
&#239;	!ï!
&#xF0;	!ð!
&#xF1;	!ñ!
&#242;	!ò!
&#x00f3;	!ó!
&#xF4;	!ô!
&#245;	!õ!
&#246;	!ö!
&#xF7;	!÷!
&#248;	!ø!
&#249;	!ù!
&#xfa;	!ú!
&#251;	!û!
&#252;	!ü!
&#253;	!ý!
&#xFE;	!þ!
&#255;	!ÿ!
&#256;	Ā
&#257;	ā
&#258;	Ă
&#x103;	ă
&#260;	Ą
&#261;	ą
&#262;	Ć
&#x0107;	ć
&#264;	Ĉ
&#x109;	ĉ
&#266;	Ċ
&#267;	ċ
&#x010C;	Č
&#0269;	č
&#270;	Ď
&#271;	ď
&#272;	Đ
&#273;	đ
&#274;	Ē
&#275;	ē
&#276;	Ĕ
&#277;	ĕ
&#0279;	ė
&#280;	Ę
&#281;	ę
&#282;	Ě
&#x11B;	ě
&#284;	Ĝ
&#x11d;	ĝ
&#286;	Ğ
&#287;	ğ
&#288;	Ġ
&#289;	ġ
&#291;	ģ
&#292;	Ĥ
&#x125;	ĥ
&#294;	Ħ
&#295;	ħ
&#297;	ĩ
&#298;	Ī
&#x12b;	ī
&#300;	Ĭ
&#301;	ĭ
&#302;	Į
&#303;	į
&#x0130;	İ
&#305;	ı
&#306;	Ĳ
&#308;	Ĵ
&#309;	ĵ
&#313;	Ĺ
&#314;	ĺ
&#316;	ļ
&#317;	Ľ
&#318;	ľ
&#x0140;	ŀ
&#321;	Ł
&#322;	ł
&#323;	Ń
&#324;	ń
&#326;	ņ
&#327;	Ň
&#328;	ň
&#0331;	ŋ
&#332;	Ō
&#x14D;	ō
&#x14F;	ŏ
&#336;	Ő
&#x0151;	ő
&#338;	Œ
&#339;	œ
&#340;	Ŕ
&#341;	ŕ
&#342;	Ŗ
&#343;	ŗ
&#344;	Ř
&#345;	ř
&#346;	Ś
&#x15b;	ś
&#348;	Ŝ
&#349;	ŝ
&#350;	Ş
&#x15F;	ş
&#X160;	Š
&#353;	š
&#354;	Ţ
&#355;	ţ
&#356;	Ť
&#357;	ť
&#359;	ŧ
&#361;	ũ
&#362;	Ū
&#x16b;	ū
&#364;	Ŭ
&#365;	ŭ
&#366;	Ů
&#367;	ů
&#368;	Ű
&#369;	ű
&#0371;	ų
&#373;	ŵ
&#375;	ŷ
&#377;	Ź
&#378;	ź
&#379;	Ż
&#380;	ż
&#381;	Ž
&#382;	ž
&#383;	ſ
&#384;	ƀ
&#389;	ƅ
&#390;	Ɔ
&#x18e;	Ǝ
&#x18f;	Ə
&#401;	Ƒ
&#405;	ƕ
&#409;	ƙ
&#417;	ơ
&#423;	Ƨ
&#424;	ƨ
&#431;	Ư
&#432;	ư
&#437;	Ƶ
&#439;	Ʒ
&#x01bf;	ƿ
&#449;	ǁ
&#451;	ǃ
&#x01C8;	ǈ
&#462;	ǎ
&#464;	ǐ
&#466;	ǒ
&#468;	ǔ
&#470;	ǖ
&#472;	ǘ
&#474;	ǚ
&#476;	ǜ
&#x1dd;	ǝ
&#478;	Ǟ
&#479;	ǟ
&#x1E3;	ǣ
&#486;	Ǧ
&#487;	ǧ
&#490;	Ǫ
&#0491;	ǫ
&#496;	ǰ
&#502;	Ƕ
&#503;	Ƿ
&#509;	ǽ
&#517;	ȅ
&#523;	ȋ
&#535;	ȗ
&#536;	Ș
&#537;	ș
&#538;	Ț
&#539;	ț
&#540;	Ȝ
&#541;	ȝ
&#546;	Ȣ
&#550;	Ȧ
&#554;	Ȫ
&#555;	ȫ
&#556;	Ȭ
&#557;	ȭ
&#558;	Ȯ
&#559;	ȯ
&#560;	Ȱ
&#561;	ȱ
&#562;	Ȳ
&#0563;	ȳ
&#x0238;	ȸ
&#x0239;	ȹ
&#592;	ɐ
&#x251;	ɑ
&#x0252;	ɒ
&#595;	ɓ
&#x254;	ɔ
&#597;	ɕ
&#598;	ɖ
&#599;	ɗ
&#0601;	ə
&#602;	ɚ
&#x25B;	ɛ
&#604;	ɜ
&#605;	ɝ
&#607;	ɟ
&#609;	ɡ
&#610;	ɢ
&#x263;	ɣ
&#612;	ɤ
&#613;	ɥ
&#614;	ɦ
&#615;	ɧ
&#616;	ɨ
&#x026a;	ɪ
&#619;	ɫ
&#x26C;	ɬ
&#621;	ɭ
&#622;	ɮ
&#623;	ɯ
&#624;	ɰ
&#625;	ɱ
&#x0272;	ɲ
&#627;	ɳ
&#628;	ɴ
&#629;	ɵ
&#630;	ɶ
&#632;	ɸ
&#633;	ɹ
&#634;	ɺ
&#635;	ɻ
&#637;	ɽ
&#638;	ɾ
&#639;	ɿ
&#640;	ʀ
&#641;	ʁ
&#642;	ʂ
&#x283;	ʃ
&#646;	ʆ
&#647;	ʇ
&#x0288;	ʈ
&#649;	ʉ
&#x028A;	ʊ
&#651;	ʋ
&#x28C;	ʌ
&#0653;	ʍ
&#654;	ʎ
&#x028f;	ʏ
&#656;	ʐ
&#657;	ʑ
&#x0292;	ʒ
&#659;	ʓ
&#x294;	ʔ
&#661;	ʕ
&#x029D;	ʝ
&#671;	ʟ
&#x2a3;	ʣ
&#676;	ʤ
&#677;	ʥ
&#678;	ʦ
&#x2a7;	ʧ
&#680;	ʨ
&#688;	ʰ
&#689;	ʱ
&#690;	ʲ
&#693;	ʵ
&#695;	ʷ
&#x2B8;	ʸ
&#x2B9;	ʹ
&#x02bb;	ʻ
&#x02bc;	ʼ
&#702;	ʾ
&#703;	ʿ
&#704;	ˀ
&#705;	ˁ
&#710;	ˆ
&#711;	ˇ
&#x2C8;	ˈ
&#713;	ˉ
&#x2cc;	ˌ
&#720;	ː
&#721;	ˑ
&#x02d8;	˘
&#729;	˙
&#730;	˚
&#731;	˛
&#732;	˜
&#x2dd;	˝
&#x02e0;	ˠ
&#741;	˥
&#743;	˧
&#745;	˩
&#750;	ˮ
&#758;	˶
&#x300;	̀
&#x301;	́
&#x302;	̂
&#x303;	̃
&#772;	̄
&#773;	̅
&#774;	̆
&#775;	̇
&#x308;	̈
&#777;	̉
&#x030B;	̋
&#780;	̌
&#781;	̍
&#787;	̓
&#788;	̔
&#797;	̝
&#798;	̞
&#799;	̟
&#800;	̠
&#802;	̢
&#803;	̣
&#805;	̥
&#807;	̧
&#808;	̨
&#x0329;	̩
&#810;	̪
&#813;	̭
&#814;	̮
&#x032f;	̯
&#818;	̲
&#820;	̴
&#833;	́
&#834;	͂
&#x343;	̓
&#x0361;	͡
&#900;	΄
&#902;	Ά
&#904;	Έ
&#905;	Ή
&#906;	Ί
&#908;	Ό
&#910;	Ύ
&#913;	Α
&#914;	Β
&#915;	Γ
&#916;	Δ
&#917;	Ε
&#918;	Ζ
&#919;	Η
&#920;	Θ
&#921;	Ι
&#x039a;	Κ
&#923;	Λ
&#924;	Μ
&#925;	Ν
&#927;	Ο
&#x03A0;	Π
&#929;	Ρ
&#931;	Σ
&#932;	Τ
&#933;	Υ
&#x3A6;	Φ
&#935;	Χ
&#x3A8;	Ψ
&#937;	Ω
&#940;	ά
&#x3ad;	έ
&#942;	ή
&#943;	ί
&#944;	ΰ
&#0945;	α
&#946;	β
&#947;	γ
&#0948;	δ
&#0949;	ε
&#950;	ζ
&#951;	η
&#x3b8;	θ
&#x3B9;	ι
&#954;	κ
&#x03bb;	λ
&#x03bc;	μ
&#957;	ν
&#958;	ξ
&#x3BF;	ο
&#x3c0;	π
&#x03C1;	ρ
&#962;	ς
&#x03C3;	σ
&#x03c4;	τ
&#965;	υ
&#966;	φ
&#967;	χ
&#x03c8;	ψ
&#969;	ω
&#970;	ϊ
&#971;	ϋ
&#972;	ό
&#x3cd;	ύ
&#974;	ώ
&#976;	ϐ
&#977;	ϑ
&#978;	ϒ
&#979;	ϓ
&#x03d8;	Ϙ
&#x03d9;	ϙ
&#986;	Ϛ
&#987;	ϛ
&#988;	Ϝ
&#989;	ϝ
&#x03de;	Ϟ
&#991;	ϟ
&#992;	Ϡ
&#993;	ϡ
&#x3E2;	Ϣ
&#x3E3;	ϣ
&#x3E4;	Ϥ
&#x3E5;	ϥ
&#x3E6;	Ϧ
&#x3E7;	ϧ
&#x3E8;	Ϩ
&#x3E9;	ϩ
&#x3EA;	Ϫ
&#x3EB;	ϫ
&#x3EC;	Ϭ
&#x3ED;	ϭ
&#x3EE;	Ϯ
&#x3EF;	ϯ
&#1009;	ϱ
&#1025;	Ё
&#1027;	Ѓ
&#1028;	Є
&#x405;	Ѕ
&#1030;	І
&#1032;	Ј
&#1034;	Њ
&#1035;	Ћ
&#1036;	Ќ
&#1038;	Ў
&#1039;	Џ
&#1040;	А
&#1041;	Б
&#1042;	В
&#1043;	Г
&#1044;	Д
&#1045;	Е
&#1046;	Ж
&#1047;	З
&#1048;	И
&#1049;	Й
&#1050;	К
&#1051;	Л
&#1052;	М
&#1053;	Н
&#1054;	О
&#1055;	П
&#1056;	Р
&#1057;	С
&#1058;	Т
&#1059;	У
&#1060;	Ф
&#x425;	Х
&#1062;	Ц
&#1063;	Ч
&#1064;	Ш
&#1065;	Щ
&#1066;	Ъ
&#1067;	Ы
&#1068;	Ь
&#1069;	Э
&#1070;	Ю
&#1071;	Я
&#1072;	а
&#1073;	б
&#x432;	в
&#1075;	г
&#1076;	д
&#x435;	е
&#1078;	ж
&#1079;	з
&#x438;	и
&#1081;	й
&#x43a;	к
&#x43b;	л
&#1084;	м
&#1085;	н
&#x43e;	о
&#x43f;	п
&#x440;	р
&#x441;	с
&#1090;	т
&#x443;	у
&#1092;	ф
&#1093;	х
&#1094;	ц
&#1095;	ч
&#1096;	ш
&#1097;	щ
&#1098;	ъ
&#1099;	ы
&#x44c;	ь
&#1101;	э
&#1102;	ю
&#1103;	я
&#1105;	ё
&#1106;	ђ
&#1107;	ѓ
&#1108;	є
&#x455;	ѕ
&#1110;	і
&#1111;	ї
&#1112;	ј
&#1113;	љ
&#1114;	њ
&#1115;	ћ
&#1116;	ќ
&#1118;	ў
&#1119;	џ
&#1120;	Ѡ
&#1121;	ѡ
&#1122;	Ѣ
&#x463;	ѣ
&#1125;	ѥ
&#1126;	Ѧ
&#1127;	ѧ
&#1128;	Ѩ
&#1129;	ѩ
&#1130;	Ѫ
&#1131;	ѫ
&#1132;	Ѭ
&#1133;	ѭ
&#1134;	Ѯ
&#1135;	ѯ
&#1136;	Ѱ
&#1137;	ѱ
&#1138;	Ѳ
&#1139;	ѳ
&#1140;	Ѵ
&#1141;	ѵ
&#1155;	҃
&#1157;	҅
&#1160;	҈
&#1168;	Ґ
&#1169;	ґ
&#1171;	ғ
&#1172;	Ҕ
&#1173;	ҕ
&#1174;	Җ
&#1175;	җ
&#1178;	Қ
&#1179;	қ
&#1182;	Ҟ
&#1183;	ҟ
&#1186;	Ң
&#1187;	ң
&#1190;	Ҧ
&#1191;	ҧ
&#1192;	Ҩ
&#1193;	ҩ
&#1196;	Ҭ
&#1197;	ҭ
&#1198;	Ү
&#1199;	ү
&#1202;	Ҳ
&#1203;	ҳ
&#1204;	Ҵ
&#1205;	ҵ
&#1212;	Ҽ
&#1213;	ҽ
&#1214;	Ҿ
&#1215;	ҿ
&#x4C3;	Ӄ
&#x4C4;	ӄ
&#x4C7;	Ӈ
&#x4C8;	ӈ
&#1227;	Ӌ
&#1228;	ӌ
&#1232;	Ӑ
&#1236;	Ӕ
&#1237;	ӕ
&#1238;	Ӗ
&#1240;	Ә
&#1241;	ә
&#1266;	Ӳ
&#1267;	ӳ
&#1329;	Ա
&#1330;	Բ
&#1331;	Գ
&#1332;	Դ
&#1333;	Ե
&#1334;	Զ
&#1335;	Է
&#1336;	Ը
&#1337;	Թ
&#1338;	Ժ
&#1339;	Ի
&#1340;	Լ
&#1341;	Խ
&#1342;	Ծ
&#1343;	Կ
&#1344;	Հ
&#1345;	Ձ
&#1346;	Ղ
&#1347;	Ճ
&#1348;	Մ
&#1349;	Յ
&#1350;	Ն
&#1351;	Շ
&#1352;	Ո
&#1353;	Չ
&#1354;	Պ
&#1355;	Ջ
&#1356;	Ռ
&#1357;	Ս
&#1358;	Վ
&#1359;	Տ
&#1360;	Ր
&#1361;	Ց
&#1362;	Ւ
&#1363;	Փ
&#1364;	Ք
&#1365;	Օ
&#1366;	Ֆ
&#1377;	ա
&#1378;	բ
&#1379;	գ
&#1381;	ե
&#1387;	ի
&#1396;	մ
&#1397;	յ
&#1398;	ն
&#1400;	ո
&#1401;	չ
&#1405;	ս
&#1406;	վ
&#1407;	տ
&#1408;	ր
&#x5a3;	֣
&#1456;	ְ
&#1457;	ֱ
&#1458;	ֲ
&#1459;	ֳ
&#1460;	ִ
&#1461;	ֵ
&#1462;	ֶ
&#1463;	ַ
&#1464;	ָ
&#1465;	ֹ
&#1466;	ֺ
&#1467;	ֻ
&#1468;	ּ
&#1470;	־
&#1473;	ׁ
&#1474;	ׂ
&#1488;	א
&#1489;	ב
&#1490;	ג
&#x05D3;	ד
&#x5d4;	ה
&#x05D5;	ו
&#1494;	ז
&#1495;	ח
&#1496;	ט
&#1497;	י
&#x5da;	ך
&#x05DB;	כ
&#x5dc;	ל
&#1501;	ם
&#x05DE;	מ
&#x05DF;	ן
&#x05E0;	נ
&#1505;	ס
&#x05E2;	ע
&#1507;	ף
&#1508;	פ
&#1509;	ץ
&#1510;	צ
&#1511;	ק
&#x5e8;	ר
&#x05E9;	ש
&#1514;	ת
&#1520;	װ
&#1523;	׳
&#1524;	״
&#1548;	،
&#1567;	؟
&#1569;	ء
&#x0622;	آ
&#1571;	أ
&#1572;	ؤ
&#1573;	إ
&#1574;	ئ
&#1575;	ا
&#x0628;	ب
&#x0629;	ة
&#x062A;	ت
&#1579;	ث
&#1580;	ج
&#1581;	ح
&#x062e;	خ
&#x062f;	د
&#1584;	ذ
&#1585;	ر
&#x0632;	ز
&#x0633;	س
&#1588;	ش
&#x635;	ص
&#1590;	ض
&#x637;	ط
&#1592;	ظ
&#x0639;	ع
&#x063A;	غ
&#1600;	ـ
&#1601;	ف
&#x0642;	ق
&#x0643;	ك
&#x0644;	ل
&#x0645;	م
&#x0646;	ن
&#x0647;	ه
&#x0648;	و
&#x0649;	ى
&#1610;	ي
&#1612;	ٌ
&#1613;	ٍ
&#x064E;	َ
&#1615;	ُ
&#1616;	ِ
&#1617;	ّ
&#1618;	ْ
&#1632;	٠
&#1633;	١
&#1634;	٢
&#1635;	٣
&#1636;	٤
&#1637;	٥
&#1638;	٦
&#1639;	٧
&#1640;	٨
&#1641;	٩
&#x066A;	٪
&#x0670;	ٰ
&#1662;	پ
&#1670;	چ
&#1672;	ڈ
&#1685;	ڕ
&#1688;	ژ
&#1690;	ښ
&#1696;	ڠ
&#1700;	ڤ
&#1704;	ڨ
&#1705;	ک
&#1711;	گ
&#1729;	ہ
&#1734;	ۆ
&#1736;	ۈ
&#x06CC;	ی
&#x06DD;	۝
&#1769;	۩
&#1776;	۰
&#1777;	۱
&#1778;	۲
&#1779;	۳
&#1780;	۴
&#1781;	۵
&#1782;	۶
&#1783;	۷
&#1784;	۸
&#1785;	۹
&#1808;	ܐ
&#1813;	ܕ
&#1815;	ܗ
&#1816;	ܘ
&#1821;	ܝ
&#1824;	ܠ
&#1825;	ܡ
&#1827;	ܣ
&#1830;	ܦ
&#1833;	ܩ
&#1834;	ܪ
&#1836;	ܬ
&#1920;	ހ
&#1921;	ށ
&#1922;	ނ
&#1923;	ރ
&#1924;	ބ
&#1925;	ޅ
&#1926;	ކ
&#1927;	އ
&#1928;	ވ
&#1929;	މ
&#1930;	ފ
&#1931;	ދ
&#1932;	ތ
&#1933;	ލ
&#1934;	ގ
&#1935;	ޏ
&#1936;	ސ
&#1937;	ޑ
&#1938;	ޒ
&#1939;	ޓ
&#1940;	ޔ
&#1941;	ޕ
&#1942;	ޖ
&#1943;	ޗ
&#1944;	ޘ
&#1945;	ޙ
&#1946;	ޚ
&#1947;	ޛ
&#1948;	ޜ
&#1949;	ޝ
&#1950;	ޞ
&#1951;	ޟ
&#1952;	ޠ
&#1953;	ޡ
&#1954;	ޢ
&#1955;	ޣ
&#1956;	ޤ
&#1957;	ޥ
&#1958;	ަ
&#1959;	ާ
&#1960;	ި
&#1961;	ީ
&#1962;	ު
&#1963;	ޫ
&#1964;	ެ
&#1965;	ޭ
&#1966;	ޮ
&#1967;	ޯ
&#1968;	ް
&#1969;	ޱ
&#2305;	ँ
&#2306;	ं
&#2307;	ः
&#2309;	अ
&#2310;	आ
&#2311;	इ
&#2312;	ई
&#2313;	उ
&#2314;	ऊ
&#2315;	ऋ
&#2319;	ए
&#2320;	ऐ
&#2323;	ओ
&#2324;	औ
&#x0915;	क
&#2326;	ख
&#2327;	ग
&#2328;	घ
&#2329;	ङ
&#2330;	च
&#2331;	छ
&#2332;	ज
&#2333;	झ
&#2334;	ञ
&#2335;	ट
&#2336;	ठ
&#2337;	ड
&#2338;	ढ
&#2339;	ण
&#x0924;	त
&#2341;	थ
&#x0926;	द
&#2343;	ध
&#2344;	न
&#2346;	प
&#2347;	फ
&#2348;	ब
&#2349;	भ
&#2350;	म
&#2351;	य
&#2352;	र
&#x0932;	ल
&#2355;	ळ
&#2357;	व
&#2358;	श
&#2359;	ष
&#2360;	स
&#2361;	ह
&#2364;	़
&#x093e;	ा
&#x093f;	ि
&#2368;	ी
&#2369;	ु
&#2370;	ू
&#2371;	ृ
&#2372;	ॄ
&#2374;	ॆ
&#2375;	े
&#2376;	ै
&#2377;	ॉ
&#2378;	ॊ
&#2379;	ो
&#2380;	ौ
&#x094d;	्
&#2384;	ॐ
&#2385;	॑
&#2386;	॒
&#2392;	क़
&#2393;	ख़
&#2394;	ग़
&#2395;	ज़
&#2396;	ड़
&#2397;	ढ़
&#2398;	फ़
&#2400;	ॠ
&#2404;	।
&#2405;	॥
&#x966;	०
&#x967;	१
&#2408;	२
&#2409;	३
&#x96a;	४
&#x96b;	५
&#2412;	६
&#x96d;	७
&#x96e;	८
&#x96f;	९
&#2434;	ং
&#2437;	অ
&#2438;	আ
&#2439;	ই
&#2441;	উ
&#2447;	এ
&#2453;	ক
&#2454;	খ
&#2455;	গ
&#2456;	ঘ
&#2457;	ঙ
&#2458;	চ
&#2459;	ছ
&#2460;	জ
&#2462;	ঞ
&#2463;	ট
&#2464;	ঠ
&#2465;	ড
&#2466;	ঢ
&#2467;	ণ
&#2468;	ত
&#2469;	থ
&#2470;	দ
&#2471;	ধ
&#2472;	ন
&#2474;	প
&#2476;	ব
&#2477;	ভ
&#2478;	ম
&#2479;	য
&#2480;	র
&#2482;	ল
&#2486;	শ
&#2487;	ষ
&#2488;	স
&#2489;	হ
&#2492;	়
&#2494;	া
&#2495;	ি
&#2496;	ী
&#2497;	ু
&#2498;	ূ
&#2503;	ে
&#2504;	ৈ
&#2507;	ো
&#2508;	ৌ
&#2509;	্
&#2524;	ড়
&#2527;	য়
&#2534;	০
&#2535;	১
&#2538;	৪
&#2561;	ਁ
&#2562;	ਂ
&#2563;	ਃ
&#2565;	ਅ
&#2566;	ਆ
&#2567;	ਇ
&#2568;	ਈ
&#2569;	ਉ
&#2570;	ਊ
&#2575;	ਏ
&#2576;	ਐ
&#2579;	ਓ
&#2580;	ਔ
&#2581;	ਕ
&#2582;	ਖ
&#2583;	ਗ
&#2584;	ਘ
&#2585;	ਙ
&#2586;	ਚ
&#2587;	ਛ
&#2588;	ਜ
&#2589;	ਝ
&#2590;	ਞ
&#2591;	ਟ
&#2592;	ਠ
&#2593;	ਡ
&#2594;	ਢ
&#2595;	ਣ
&#2596;	ਤ
&#2597;	ਥ
&#2598;	ਦ
&#2599;	ਧ
&#2600;	ਨ
&#2602;	ਪ
&#2603;	ਫ
&#2604;	ਬ
&#2605;	ਭ
&#2606;	ਮ
&#2607;	ਯ
&#2608;	ਰ
&#2610;	ਲ
&#2611;	ਲ਼
&#2613;	ਵ
&#2614;	ਸ਼
&#2616;	ਸ
&#2617;	ਹ
&#2620;	਼
&#2622;	ਾ
&#2623;	ਿ
&#2624;	ੀ
&#2625;	ੁ
&#2626;	ੂ
&#2631;	ੇ
&#2632;	ੈ
&#2635;	ੋ
&#2636;	ੌ
&#2637;	੍
&#2649;	ਖ਼
&#2650;	ਗ਼
&#2651;	ਜ਼
&#2652;	ੜ
&#2654;	ਫ਼
&#2662;	੦
&#2663;	੧
&#2664;	੨
&#2665;	੩
&#2666;	੪
&#2667;	੫
&#2668;	੬
&#2669;	੭
&#2670;	੮
&#2671;	੯
&#2672;	ੰ
&#2673;	ੱ
&#2674;	ੲ
&#2675;	ੳ
&#2676;	ੴ
&#2690;	ં
&#2703;	એ
&#2709;	ક
&#2711;	ગ
&#2716;	જ
&#2719;	ટ
&#2721;	ડ
&#2724;	ત
&#2728;	ન
&#2736;	ર
&#2738;	લ
&#2741;	વ
&#2750;	ા
&#2751;	િ
&#2752;	ી
&#2753;	ુ
&#2763;	ો
&#2765;	્
&#2949;	அ
&#2950;	ஆ
&#2951;	இ
&#2953;	உ
&#2965;	க
&#2969;	ங
&#2970;	ச
&#2975;	ட
&#2979;	ண
&#2980;	த
&#2984;	ந
&#2985;	ன
&#2986;	ப
&#2990;	ம
&#2991;	ய
&#2992;	ர
&#2993;	ற
&#2994;	ல
&#2995;	ள
&#2996;	ழ
&#2997;	வ
&#2999;	ஷ
&#3000;	ஸ
&#3006;	ா
&#3007;	ி
&#3008;	ீ
&#3009;	ு
&#3010;	ூ
&#3014;	ெ
&#3015;	ே
&#3016;	ை
&#3018;	ொ
&#3019;	ோ
&#3021;	்
&#3046;	௦
&#3047;	௧
&#3048;	௨
&#3049;	௩
&#3050;	௪
&#3051;	௫
&#3052;	௬
&#3053;	௭
&#3054;	௮
&#3055;	௯
&#3074;	ం
&#3077;	అ
&#3086;	ఎ
&#3093;	క
&#3095;	గ
&#3098;	చ
&#3100;	జ
&#3108;	త
&#3110;	ద
&#3112;	న
&#3114;	ప
&#3117;	భ
&#3118;	మ
&#3119;	య
&#3120;	ర
&#3122;	ల
&#3123;	ళ
&#3125;	వ
&#3126;	శ
&#3129;	హ
&#3134;	ా
&#3135;	ి
&#3136;	ీ
&#3137;	ు
&#3142;	ె
&#3147;	ో
&#3149;	్
&#3202;	ಂ
&#3203;	ಃ
&#3205;	ಅ
&#3206;	ಆ
&#3207;	ಇ
&#3208;	ಈ
&#3209;	ಉ
&#3210;	ಊ
&#3211;	ಋ
&#3214;	ಎ
&#3215;	ಏ
&#3216;	ಐ
&#3218;	ಒ
&#3219;	ಓ
&#3220;	ಔ
&#3221;	ಕ
&#3222;	ಖ
&#3223;	ಗ
&#3224;	ಘ
&#3225;	ಙ
&#3226;	ಚ
&#3227;	ಛ
&#3228;	ಜ
&#3229;	ಝ
&#3230;	ಞ
&#3231;	ಟ
&#3232;	ಠ
&#3233;	ಡ
&#3234;	ಢ
&#3235;	ಣ
&#3236;	ತ
&#3237;	ಥ
&#3238;	ದ
&#3239;	ಧ
&#3240;	ನ
&#3242;	ಪ
&#3243;	ಫ
&#3244;	ಬ
&#3245;	ಭ
&#3246;	ಮ
&#3247;	ಯ
&#3248;	ರ
&#3250;	ಲ
&#3251;	ಳ
&#3253;	ವ
&#3254;	ಶ
&#3255;	ಷ
&#3256;	ಸ
&#3257;	ಹ
&#3262;	ಾ
&#3263;	ಿ
&#3265;	ು
&#3270;	ೆ
&#3275;	ೋ
&#3277;	್
&#3296;	ೠ
&#3302;	೦
&#3303;	೧
&#3304;	೨
&#3305;	೩
&#3306;	೪
&#3307;	೫
&#3308;	೬
&#3309;	೭
&#3310;	೮
&#3311;	೯
&#3330;	ം
&#3335;	ഇ
&#3347;	ഓ
&#x0D15;	ക
&#3353;	ങ
&#3354;	ച
&#3359;	ട
&#3363;	ണ
&#3364;	ത
&#3365;	ഥ
&#3367;	ധ
&#3368;	ന
&#3370;	പ
&#3374;	മ
&#3375;	യ
&#3376;	ര
&#3377;	റ
&#3378;	ല
&#x0D33;	ള
&#3381;	വ
&#3382;	ശ
&#3384;	സ
&#3390;	ാ
&#3391;	ി
&#3393;	ു
&#3399;	േ
&#3405;	്
&#3456;	඀
&#3457;	ඁ
&#3458;	ං
